recipe_name,ingredients,cooking_instructions
Pineapple Orange Cake,"1 package yellow cake mix
1 can (11 ounces) mandarin oranges, undrained
4 large eggs
1/4 cup vegetable oil
1 can (8 ounces) crushed pineapple, undrained
1 package (3.4 ounces) instant vanilla pudding mix
1 cup cold milk
1 carton (8 ounces) frozen whipped topping, thawed","1. In a large bowl, combine cake mix, oranges with juice, eggs, and oil; beat on low speed for 2 minutes.
2. Pour into a greased 13x9-inch baking pan.
3. Bake at 350°F for 25-30 minutes or until a toothpick inserted in the center comes out clean.
4. Cool completely on a wire rack.
5. For the topping, in a large bowl, beat pineapple with juice and pudding mix on low speed for 2 minutes. Gradually beat in milk. Fold in whipped topping. Spread over cake.
6. Refrigerate for at least 1 hour before serving."
Baked Spaghetti,"1 package (16 ounces) spaghetti
1 pound ground beef
1 jar (26 ounces) spaghetti sauce
2 cups shredded mozzarella cheese
1/4 cup grated Parmesan cheese","1. Cook spaghetti according to package directions; drain.
2. In a skillet, cook beef over medium heat until no longer pink; drain.
3. Stir in spaghetti sauce and cooked spaghetti.
4. Transfer to a greased 13x9-inch baking dish.
5. Sprinkle with cheeses.
6. Bake, uncovered, at 350°F for 30-35 minutes or until heated through and cheese is melted."
Buttery Cornbread,"1 cup all-purpose flour
1 cup cornmeal
1/4 cup sugar
4 teaspoons baking powder
1/2 teaspoon salt
2 large eggs
1 cup 2% milk
1/2 cup butter, melted","1. In a large bowl, combine the flour, cornmeal, sugar, baking powder, and salt.
2. In another bowl, whisk the eggs, milk, and melted butter.
3. Stir into dry ingredients just until moistened.
4. Pour into a greased 9-inch square baking pan.
5. Bake at 425°F for 20-25 minutes or until a toothpick inserted in the center comes out clean.
6. Serve warm."
Sandy’s Chocolate Cake,"2 cups all-purpose flour
2 cups sugar
3/4 cup baking cocoa
2 teaspoons baking soda
1 teaspoon baking powder
1/2 teaspoon salt
2 large eggs
1 cup strong brewed coffee, cooled
1 cup buttermilk
1/2 cup canola oil
1 teaspoon vanilla extract","1. Preheat oven to 350°F. Grease and flour a 13x9-inch baking pan.
2. In a large bowl, combine the flour, sugar, cocoa, baking soda, baking powder, and salt.
3. Add eggs, coffee, buttermilk, oil, and vanilla; beat on medium speed for 2 minutes.
4. Pour into prepared pan.
5. Bake for 35-40 minutes or until a toothpick inserted in the center comes out clean.
6. Cool completely on a wire rack before frosting."
Baked Mushroom Chicken,"4 boneless skinless chicken breast halves (6 ounces each)
1/2 teaspoon salt
1/4 teaspoon pepper
1 can (10-3/4 ounces) condensed cream of mushroom soup, undiluted
1/2 cup water
1/4 cup white wine or chicken broth
1 cup sliced fresh mushrooms","1. Place chicken in a greased 13x9-inch baking dish; sprinkle with salt and pepper.
2. In a small bowl, combine the soup, water, and wine or broth; pour over chicken.
3. Top with mushrooms.
4. Bake, uncovered, at 375°F for 30-35 minutes or until a thermometer reads 170°F."
Hot Milk Cake,"4 large eggs
2 cups sugar
1 teaspoon vanilla extract
2-1/4 cups all-purpose flour
2-1/4 teaspoons baking powder
1/4 teaspoon salt
1 cup 2% milk
10 tablespoons butter","1. In a large bowl, beat eggs on high speed for 5 minutes or until thick and lemon-colored.
2. Gradually add sugar, beating until mixture is light and fluffy. Beat in vanilla.
3. Combine flour, baking powder, and salt; gradually add to batter just until combined.
4. In a small saucepan, heat milk and butter just until butter is melted.
5. Gradually add to batter; beat just until combined.
6. Pour into a greased 13x9-inch baking pan.
7. Bake at 350°F for 30-35 minutes or until a toothpick inserted in the center comes out clean.
8. Cool on a wire rack."
Macaroni Coleslaw,"1 package (16 ounces) elbow macaroni
4 cups coleslaw mix
1/2 cup chopped onion
1 cup mayonnaise
1/4 cup sugar
1/4 cup cider vinegar
1/4 cup milk
1/2 teaspoon salt
1/4 teaspoon pepper","1. Cook macaroni according to package directions; drain and rinse in cold water.
2. In a large bowl, combine the macaroni, coleslaw mix, and onion.
3. In a small bowl, whisk the mayonnaise, sugar, vinegar, milk, salt, and pepper.
4. Pour over macaroni mixture and toss to coat.
5. Cover and refrigerate for at least 2 hours before serving."
Cheesy Ham Chowder,"3 cups diced peeled potatoes
1/2 cup chopped onion
1/2 cup chopped celery
1/4 cup chopped green pepper
1/4 cup butter
1/4 cup all-purpose flour
1 teaspoon salt
1/2 teaspoon pepper
3 cups milk
2 cups shredded cheddar cheese
2 cups cubed fully cooked ham","1. In a large saucepan, combine the potatoes, onion, celery, and green pepper; add water to cover.
2. Bring to a boil. Reduce heat; cover and simmer for 10-15 minutes or until vegetables are tender. Drain and set aside.
3. In the same saucepan, melt butter; stir in flour, salt, and pepper until smooth.
4. Gradually add milk. Bring to a boil; cook and stir for 2 minutes or until thickened.
5. Reduce heat; stir in cheese until melted.
6. Add ham and reserved vegetables; heat through."
Winning Apple Crisp,"5 cups sliced peeled tart apples
3/4 cup packed brown sugar
1/2 cup all-purpose flour
1/2 cup quick-cooking oats
1/3 cup butter, softened
3/4 teaspoon ground cinnamon
3/4 teaspoon ground nutmeg
Vanilla ice cream, optional","1. Place apples in a greased 8-inch square baking dish.
2. In a bowl, combine the brown sugar, flour, oats, butter, cinnamon, and nutmeg until the mixture resembles coarse crumbs; sprinkle over apples.
3. Bake at 350°F for 35-40 minutes or until apples are tender.
4. Serve warm with ice cream if desired."
Forgotten Jambalaya,"1 package (8 ounces) smoked sausage, sliced
1 medium onion, chopped
1 medium green pepper, chopped
1 celery rib, chopped
2 cans (14-1/2 ounces each) diced tomatoes, undrained
1-1/2 cups water
1 cup uncooked long grain rice
1 teaspoon salt
1/2 teaspoon pepper
1/2 teaspoon dried thyme
1/4 teaspoon cayenne pepper","1. In a Dutch oven, cook sausage over medium heat until lightly browned; drain.
2. Add the onion, green pepper, and celery; cook and stir for 5 minutes or until tender.
3. Stir in the tomatoes, water, rice, salt, pepper, thyme, and cayenne.
4. Bring to a boil. Reduce heat; cover and simmer for 20-25 minutes or until rice is tender."
Basic Banana Muffins,"1-1/2 cups all-purpose flour
1 teaspoon baking soda
1 teaspoon baking powder
1/2 teaspoon salt
3 large ripe bananas
3/4 cup sugar
1 egg
1/3 cup vegetable oil","1. Preheat oven to 375°F. Grease muffin cups or line with muffin liners.
2. In a large bowl, combine flour, baking soda, baking powder, and salt.
3. In another bowl, mash bananas; add sugar, egg, and oil. Stir into dry ingredients just until moistened.
4. Fill prepared muffin cups three-fourths full.
5. Bake for 18-20 minutes or until a toothpick inserted in the center comes out clean.
6. Cool for 5 minutes before removing from pan to a wire rack."
Seafood Lasagna,"9 lasagna noodles, cooked and drained
1/4 cup butter
1/4 cup all-purpose flour
1/2 teaspoon salt
2 cups 2% milk
2 cups shredded part-skim mozzarella cheese, divided
1/2 cup grated Parmesan cheese
1/2 teaspoon dried basil
1/2 teaspoon dried oregano
1/4 teaspoon garlic powder
1/4 teaspoon pepper
1 can (14-1/2 ounces) diced tomatoes, drained
1 can (6 ounces) crabmeat, drained, flaked, and cartilage removed
1/2 pound cooked medium shrimp, peeled and deveined
1/2 cup chopped green onions","1. In a saucepan, melt butter. Stir in flour and salt until smooth. Gradually add milk. Bring to a boil; cook and stir for 2 minutes.
2. Reduce heat; stir in 1 cup mozzarella cheese, Parmesan cheese, basil, oregano, garlic powder, and pepper until cheese is melted.
3. Spread 1/2 cup sauce into a greased 13x9-inch baking dish. Layer with three noodles, a third of the remaining sauce, tomatoes, crab, and shrimp. Repeat layers twice.
4. Cover and bake at 350°F for 40 minutes. Uncover; sprinkle with remaining mozzarella cheese and green onions. Bake 5-10 minutes longer or until bubbly and cheese is melted. Let stand for 15 minutes before cutting."
Creamy Grape Salad,"4 cups seedless red grapes
4 cups seedless green grapes
1 package (8 ounces) cream cheese, softened
1 cup sour cream
1/2 cup sugar
2 teaspoons vanilla extract
1 cup chopped pecans, toasted","1. In a large bowl, combine grapes.
2. In a separate bowl, beat cream cheese, sour cream, sugar, and vanilla until blended.
3. Add to grapes; toss to coat.
4. Refrigerate until serving.
5. Just before serving, sprinkle with pecans."
